MGR_ID,GEO_ZONE,KPI_SCORE,BUD_VAR,RNW_COUNT,TRM_AUTH,RLT_IDX,FIX_INC,GEN_OPS,INFRA_5G,DEP_RET,LATE_FEE,DIGI_SIGN,CX_TKT_CLS,RPT_FLD
Mary Johnson,Coast_Reg,60.56,13,9,6,8,5,6,4,0,0,3,5,2
Robert Brown,South_Dist,59.19,11,10,6,8,5,6,3,1,0,5,0,4
Mary Wilson,Coast_Reg,58.88,15,7,3,8,5,6,3,0,0,5,5,2
Mary Anderson,West_Port,58.47,11,5,3,8,5,10,2,0,0,5,5,4
Patricia Williams,Atlantic_SEC,58.09,12,10,6,8,5,10,2,0,0,3,0,2
James Jones,Coast_Reg,57.77,13,7,3,8,5,8,3,0,0,2,5,4
James Lopez,East_Plateau,57.58,12,5,6,8,5,6,5,0,0,5,3,3
Robert Jones,East_Plateau,57.0,13,8,5,8,5,6,5,0,0,0,3,4
James Smith,Atlantic_SEC,56.91,10,9,3,8,5,10,4,0,0,5,0,3
Mary Lopez,East_Plateau,56.49,11,10,6,8,5,6,3,0,0,0,3,4
James Davis,Industrial_NE,56.21,14,8,4,8,5,8,2,0,0,5,0,2
Patricia Johnson,East_Plateau,55.7,10,5,6,7,5,8,5,0,0,2,3,5
Patricia Thomas,Industrial_NE,55.48,14,7,6,8,5,8,0,0,0,5,0,2
Mary Garcia,West_Port,55.33,12,0,4,7,5,8,5,0,0,5,5,4
Robert Johnson,Coast_Reg,54.67,15,3,3,8,5,6,5,0,0,5,5,0
Patricia Gonzalez,South_Dist,54.23,12,7,6,8,5,6,2,0,0,5,0,3
James Garcia,Industrial_NE,54.0,15,9,6,7,5,6,0,0,0,2,0,4
Robert Lopez,Pacific_SEC,53.99,8,6,4,8,5,10,4,0,0,4,0,5
James Gonzalez,South_Dist,53.96,11,7,5,8,5,8,2,0,0,5,0,3
James Moore,Pacific_SEC,53.76,11,4,6,8,5,10,5,0,0,3,0,2
Mary Rodriguez,Pacific_SEC,53.31,9,8,6,7,3,10,5,0,0,3,0,2
James Hernandez,Pacific_SEC,52.33,11,5,4,8,5,10,5,0,0,2,0,2
Mary Gonzalez,Atlantic_SEC,51.92,11,8,6,8,0,10,3,1,0,0,0,5
James Wilson,South_Dist,51.52,12,9,4,7,3,6,2,0,0,5,0,4
James Miller,West_Port,50.96,13,5,6,8,0,6,3,0,0,0,5,5
Mary Miller,Industrial_NE,50.76,12,5,6,8,5,10,2,0,0,0,0,3
James Jackson,Industrial_NE,49.99,14,4,4,8,5,8,2,0,0,5,0,0
Robert Martin,Industrial_NE,49.92,12,9,4,2,5,8,0,0,0,5,0,4
Patricia Smith,North_Edge,49.82,11,6,0,8,5,6,4,0,0,5,0,5
Mary Davis,West_Port,48.79,12,2,3,8,5,8,2,0,0,2,5,2
Mary Hernandez,East_Plateau,48.73,11,5,5,4,5,6,3,0,0,2,3,5
Robert Garcia,East_Plateau,48.54,7,10,5,6,5,6,3,0,0,0,3,4
Robert Moore,South_Dist,48.32,11,7,4,8,5,6,0,0,0,3,0,4
Mary Jones,Atlantic_SEC,48.17,13,2,6,7,5,8,2,0,0,5,0,0
Patricia Anderson,North_Edge,47.8,12,9,0,8,5,4,0,0,0,5,0,5
Robert Miller,Cap_Zone,47.78,12,5,4,3,5,8,0,2,0,5,0,4
Mary Martin,Cap_Zone,47.73,13,0,4,8,5,10,2,1,0,0,0,5
James Martinez,Cap_Zone,47.44,12,7,4,1,5,8,0,1,0,5,0,4
Robert Taylor,West_Port,47.32,9,0,3,8,5,8,2,0,0,5,5,2
James Rodriguez,West_Port,47.22,14,0,3,8,4,6,0,0,0,2,5,5
Robert Anderson,West_Port,46.7,12,0,3,4,5,8,2,0,0,5,5,3
James Johnson,Cap_Zone,46.48,12,5,4,8,5,6,0,1,0,0,0,5
Robert Jackson,South_Dist,46.48,11,4,4,7,5,6,0,0,0,5,0,4
Patricia Jones,Atlantic_SEC,46.47,12,3,3,8,5,8,0,0,0,5,0,2
Robert Thomas,Coast_Reg,46.36,11,4,4,7,5,6,4,0,0,0,5,0
James Thomas,Atlantic_SEC,46.3,9,0,3,8,5,8,4,0,0,5,0,4
Patricia Hernandez,Cap_Zone,45.79,12,5,6,3,5,10,0,0,0,0,0,5
James Brown,North_Edge,45.59,11,5,0,7,5,6,3,2,0,5,0,2
Patricia Wilson,West_Port,45.44,11,9,3,1,5,6,0,0,0,0,5,5
Mary Moore,West_Port,45.27,11,0,3,8,5,6,0,0,0,2,5,5
Mary Thomas,Cap_Zone,45.05,12,6,4,8,4,8,0,1,0,0,0,2
Mary Smith,Industrial_NE,44.63,14,3,4,4,4,6,0,0,0,5,0,5
James Williams,Atlantic_SEC,44.58,11,0,3,5,5,10,2,1,0,2,0,5
Robert Wilson,North_Edge,44.45,10,7,0,7,5,6,4,0,0,5,0,0
James Anderson,Atlantic_SEC,44.3,8,5,3,2,5,8,4,1,0,4,0,4
Robert Williams,Atlantic_SEC,43.94,12,2,3,0,4,8,5,1,0,5,0,4
Patricia Brown,Pacific_SEC,43.34,10,9,4,2,5,8,5,0,0,0,0,0
James Martin,Pacific_SEC,42.23,11,5,4,1,0,8,5,0,0,5,0,3
Mary Williams,Atlantic_SEC,41.79,11,6,3,3,5,8,0,0,0,2,0,4
Mary Brown,Cap_Zone,41.65,13,2,4,7,5,6,0,1,0,0,0,4
James Taylor,South_Dist,41.36,10,4,4,6,5,8,0,0,0,5,0,0
Robert Martinez,South_Dist,41.29,11,5,4,3,5,6,2,1,0,0,0,4
Robert Smith,South_Dist,40.97,12,2,4,8,5,6,2,2,0,0,0,0
Mary Martinez,South_Dist,40.48,10,3,4,8,5,4,2,1,0,0,0,3
Mary Taylor,Atlantic_SEC,40.27,9,4,3,1,5,8,4,1,0,5,0,0
Patricia Lopez,Pacific_SEC,39.36,9,5,4,5,0,10,5,0,0,0,0,2
Robert Davis,Atlantic_SEC,39.23,12,3,3,3,5,8,3,0,0,0,0,3
Robert Hernandez,North_Edge,37.95,10,0,0,8,5,6,4,0,0,5,0,0
Robert Rodriguez,North_Edge,35.71,11,2,0,7,5,6,0,0,0,0,0,5
Mary Jackson,North_Edge,35.0,5,7,0,0,5,6,5,1,0,4,0,2
Robert Gonzalez,North_Edge,31.05,12,2,0,7,0,4,4,0,0,0,0,2
Patricia Garcia,Industrial_NE,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Patricia Miller,East_Plateau,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Patricia Davis,Coast_Reg,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Patricia Rodriguez,South_Dist,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Patricia Martinez,North_Edge,0.0,0,0,0,0,0,0,0,0,0,0,0,0
